time_s,ueIndex,x,y,servingCellId
11.5,24,501.707,318.469,2
11.5,25,696.826,360.067,3
11.5,26,272.121,707.526,1
11.5,27,504.267,722.968,1
11.5,28,282.854,445.783,2
11.5,29,260.327,659.607,1
12,0,631.452,729.522,1
12,1,377.431,748.525,1
12,2,216.941,393.576,2
12,3,222.408,527.249,2
12,4,362.996,250.871,2
12,5,503.141,637.764,1
12,6,226.009,488.637,2
12,7,476.11,417.777,3
12,8,478.599,367.512,2
12,9,746.533,382.981,3
12,10,709.209,569.811,3
12,11,485.894,741.899,1
12,12,399.692,487.564,2
12,13,631.642,333.313,3
12,14,279.584,500.843,2
12,15,301.6,725.359,1
12,16,294.852,566.008,2
12,17,592.922,425.849,3
12,18,610.262,619.123,1
12,19,380.46,692.823,1
12,20,445.338,284.908,2
12,21,486.78,254.559,3
12,22,458.341,774.44,1
12,23,519.299,692.557,1
12,24,502.552,319.708,2
12,25,698.288,360.403,3
12,26,271.292,708.777,1
12,27,502.767,722.996,1
12,28,283.893,444.701,2
12,29,259.244,660.645,1
12.5,0,631.94,730.94,1
12.5,1,378.462,749.615,1
12.5,2,215.533,394.093,2
12.5,3,223.904,527.131,2
12.5,4,361.507,251.054,2
12.5,5,501.827,638.489,1
12.5,6,225.814,487.15,2
12.5,7,474.612,417.857,3
12.5,8,480.021,367.034,2
12.5,9,747.792,383.795,3
12.5,10,710.372,568.864,3
12.5,11,487.376,741.662,1
12.5,12,398.305,486.993,2
12.5,13,632.988,332.65,3
12.5,14,279.392,502.33,2
12.5,15,302.02,726.799,1
12.5,16,295.95,567.029,2
12.5,17,591.496,426.314,3
12.5,18,609.062,618.223,1
12.5,19,380.291,694.314,1
12.5,20,444.523,283.649,2
12.5,21,485.908,255.779,3
12.5,22,456.844,774.526,1
12.5,23,520.339,691.477,1
12.5,24,503.398,320.947,2
12.5,25,699.75,360.74,3
12.5,26,270.464,710.028,1
12.5,27,501.267,723.024,1
12.5,28,284.932,443.619,2
12.5,29,258.161,661.683,1
13,0,632.429,732.358,1
13,1,379.493,750.705,1
13,2,214.125,394.61,2
13,3,225.399,527.013,2
13,4,360.018,251.236,2
13,5,500.514,639.214,1
13,6,225.618,485.663,2
13,7,473.114,417.938,3
13,8,481.443,366.556,2
13,9,749.052,384.61,3
13,10,711.535,567.916,3
13,11,488.857,741.425,1
13,12,396.918,486.423,2
13,13,634.333,331.986,3
13,14,279.199,503.818,2
13,15,302.441,728.239,1
13,16,297.049,568.05,2
13,17,590.07,426.779,3
13,18,607.862,617.323,1
13,19,380.122,695.804,1
13,20,443.707,282.39,2
13,21,485.036,256.999,3
13,22,455.346,774.612,1
13,23,521.379,690.396,1
13,24,504.244,322.186,2
13,25,701.212,361.076,3
13,26,269.636,711.278,1
13,27,499.768,723.052,1
13,28,285.971,442.538,2
13,29,257.078,662.721,1
13.5,0,632.917,733.777,1
13.5,1,380.524,751.794,1
13.5,2,212.717,395.128,2
13.5,3,226.894,526.895,2
13.5,4,358.529,251.418,2
13.5,5,499.201,639.939,1
13.5,6,225.423,484.176,2
13.5,7,471.616,418.018,3
13.5,8,482.864,366.077,2
13.5,9,750.311,385.425,3
13.5,10,712.698,566.969,3
13.5,11,490.338,741.187,1
13.5,12,395.53,485.853,2
13.5,13,635.679,331.323,3
13.5,14,279.007,505.306,2
13.5,15,302.861,729.679,1
13.5,16,298.147,569.072,2
13.5,17,588.644,427.244,3
13.5,18,606.662,616.423,1
13.5,19,379.953,697.295,1
13.5,20,442.892,281.131,2
13.5,21,484.164,258.22,3
13.5,22,453.849,774.698,1
13.5,23,522.42,689.315,1
13.5,24,505.089,323.425,2
13.5,25,702.673,361.413,3
13.5,26,268.807,712.529,1
13.5,27,498.268,723.08,1
13.5,28,287.01,441.456,2
13.5,29,255.995,663.759,1
14,0,633.405,735.195,1
14,1,381.555,752.884,1
14,2,211.309,395.645,2
14,3,228.39,526.777,2
14,4,357.04,251.601,2
14,5,497.888,640.664,1
14,6,225.227,482.688,2
14,7,470.119,418.099,3
14,8,484.286,365.599,2
14,9,751.571,386.24,3
14,10,713.861,566.021,3
14,11,491.819,740.95,1
14,12,394.143,485.282,2
14,13,637.024,330.66,3
14,14,278.814,506.793,2
14,15,303.281,731.119,1
14,16,299.246,570.093,2
14,17,587.218,427.709,3
14,18,605.462,615.523,1
14,19,379.784,698.785,1
14,20,442.077,279.872,2
14,21,483.291,259.44,3
14,22,452.351,774.784,1
14,23,523.46,688.235,1
14,24,505.935,324.664,2
14,25,704.135,361.749,3
14,26,267.979,713.779,1
14,27,496.768,723.108,1
14,28,288.049,440.374,2
14,29,254.912,664.797,1
14.5,0,633.893,736.613,1
14.5,1,382.585,753.974,1
14.5,2,209.901,396.162,2
14.5,3,229.885,526.659,2
14.5,4,355.551,251.783,2
14.5,5,496.575,641.39,1
14.5,6,225.032,481.201,2
14.5,7,468.621,418.18,3
14.5,8,485.708,365.121,2
14.5,9,752.83,387.055,3
14.5,10,715.024,565.074,3
14.5,11,493.3,740.712,1
14.5,12,392.756,484.712,2
14.5,13,638.369,329.997,3
14.5,14,278.621,508.281,2
14.5,15,303.702,732.559,1
14.5,16,300.345,571.114,2
14.5,17,585.792,428.173,3
14.5,18,604.262,614.623,1
14.5,19,379.615,700.275,1
14.5,20,441.261,278.613,2
14.5,21,482.419,260.66,3
14.5,22,450.853,774.871,1
14.5,23,524.5,687.154,1
14.5,24,506.781,325.903,2
14.5,25,705.597,362.086,3
14.5,26,267.15,715.03,1
14.5,27,495.268,723.136,1
14.5,28,289.088,439.292,2
14.5,29,253.829,665.835,1
15,0,634.381,738.032,1
15,1,383.616,755.063,1
15,2,208.493,396.679,2
15,3,231.381,526.541,2
15,4,354.063,251.966,2
15,5,495.262,642.115,1
15,6,224.837,479.714,2
15,7,467.123,418.26,3
15,8,487.13,364.642,2
15,9,754.089,387.87,3
15,10,716.187,564.127,3
15,11,494.781,740.475,1
15,12,391.369,484.141,2
15,13,639.715,329.333,3
15,14,278.429,509.768,2
15,15,304.122,733.999,1
15,16,301.443,572.136,2
15,17,584.365,428.638,3
15,18,603.062,613.723,1
15,19,379.445,701.766,1
15,20,440.446,277.354,2
15,21,481.547,261.881,3
15,22,449.356,774.957,1
15,23,525.541,686.073,1
15,24,507.626,327.142,2
15,25,707.059,362.423,3
15,26,266.322,716.28,1
15,27,493.769,723.164,1
15,28,290.127,438.21,2
15,29,252.746,666.873,1
15.5,0,634.87,739.45,1
