time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
51.5,570,2,566,0.0830097,-1.94706,0.121126,1.81649,1.76987,1.78074,-1.2458,0.536257,6.0183,3.11128,5.94997,5.86857
54,575,0,571,0.0279768,-1.95687,0.121882,1.85783,1.84298,1.84204,-1.23056,0.51844,7.38592,3.74439,7.13353,7.92272
54,575,1,571,0.01773,-1.66542,0.120987,1.50298,1.47097,1.47583,-1.22496,0.511104,6.38877,3.05029,6.02147,5.66829
54,575,2,571,0.0313414,-2.00527,0.120948,1.82124,1.81047,1.82186,-1.37843,0.542547,6.03598,2.85445,5.9661,5.8525
56.5,580,0,576,0.0236616,-1.97808,0.121704,1.89657,1.87765,1.87217,-1.3188,0.524478,7.1678,4.05754,7.13287,7.96367
56.5,580,1,576,0.0237808,-1.67675,0.12081,1.4862,1.49536,1.48063,-1.21105,0.531026,6.3807,3.23823,6.02971,5.68615
56.5,580,2,576,0.0306935,-2.04703,0.120769,1.84048,1.87652,1.86599,-1.18838,0.576431,5.96503,2.81246,5.97084,5.85674
0.5,585,0,580,0.0629621,-1.89024,0.121525,1.82753,1.82337,1.80578,-1.28888,0.472933,6.93792,3.70934,7.13514,7.9814
0.5,585,1,580,0.0341399,-1.72284,0.120632,1.49004,1.47428,1.46573,-1.16707,0.561186,6.35692,3.16047,6.04093,5.69166
0.5,585,2,580,0.0566862,-1.96901,0.120591,1.85176,1.84852,1.83679,-1.33154,0.516984,6.48128,3.39356,5.98914,5.86246
3,590,0,585,0.0553821,-2.02883,0.121343,1.90621,1.93071,1.90164,-1.15713,0.530204,7.01763,3.58925,7.13171,7.95976
3,590,1,585,0.0305141,-1.65621,0.120451,1.48772,1.4941,1.4413,-1.23606,0.516423,6.10523,3.39024,6.0392,5.69697
3,590,2,585,0.0504926,-2.00542,0.120411,1.84016,1.86713,1.82871,-1.27464,0.495219,6.12176,2.99631,6.00829,5.89222
