time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
8.5,1,-0.591643,0.567274,3,34.2691,12651.2,0.134338
8.5,2,0.338957,-0.59385,-1.5,29.6246,11069,0.133332
8.5,3,0.854443,0.48013,-4.5,33.9205,11618.5,0.133312
11,1,0.586497,-0.308464,-3,30.7661,9859.41,0.134136
11,2,0.149516,-0.968673,-0.5,28.1253,14895.1,0.133132
11,3,0.024396,-0.0955969,-0,31.6176,10708.7,0.133112
13.5,1,-0.413691,-0.761314,2,28.9547,11825.9,0.133934
13.5,2,0.300579,-0.100718,-1.5,31.5971,9204.51,0.132932
13.5,3,-0.768401,-0.492799,4,30.0288,9019.76,0.132913
16,1,-0.916922,0.615651,4.5,34.4626,10870.6,0.133732
16,2,-0.880503,-0.514812,4.5,29.9408,8895.84,0.132732
16,3,-0.107569,0.271792,0.5,33.0872,9073.95,0.132713
18.5,1,-0.258729,0.875925,1.5,35.5037,9505.55,0.133531
18.5,2,0.325834,-0.784078,-1.5,28.8637,9757.17,0.132533
18.5,3,0.68265,0.514956,-3.5,34.0598,10339.2,0.132514
21,1,-0.853397,0.792708,4.5,35.1708,9747.73,0.13333
21,2,-0.499877,-0.174905,2.5,31.3004,12071.5,0.132333
21,3,0.287519,-0.976146,-1.5,28.0954,6721.63,0.132315
23.5,1,-0.566183,-0.20956,3,31.1618,8567.63,0.133128
23.5,2,-0.575624,-0.485692,3,30.0572,9442.83,0.132135
23.5,3,-0.842718,-0.522793,4,29.9088,9095.86,0.132116
26,1,-0.779954,-0.270934,4,30.9163,10000,0.132928
26,2,-0.223815,0.635043,1,34.5402,10212.1,0.131936
26,3,0.857495,-0.351401,-4.5,30.5944,7248.5,0.131917
28.5,1,-0.314533,-0.814879,1.5,28.7405,6692.98,0.132728
28.5,2,-0.849873,-0.411809,4,30.3528,9262.34,0.131738
28.5,3,-0.530663,0.213792,2.5,32.8552,9815.52,0.131719
31,1,0.300342,0.784444,-1.5,35.1378,9228.99,0.132528
31,2,0.17588,0.852087,-1,35.4083,7987.23,0.13154
31,3,-0.817279,-0.132397,4,31.4704,9154.54,0.13152
33.5,1,0.962008,0.385308,-5,33.5412,7473.66,0.132328
33.5,2,-0.363449,-0.69548,2,29.2181,6902.48,0.131343
33.5,3,0.489707,-0.235292,-2.5,31.0588,9085.39,0.131322
36,1,-0.782261,-0.741999,4,29.032,11824,0.132129
36,2,-0.801308,-0.826917,4,28.6923,8771.46,0.131147
36,3,0.209872,0.429379,-1,33.7175,7118.83,0.131125
38.5,1,-0.0199225,0.698806,-0,34.7952,8794.4,0.131931
38.5,2,-0.0190033,-0.69216,-0,29.2314,11235.6,0.13095
38.5,3,0.1883,0.16156,-1,32.6462,9818.82,0.130929
41,1,-0.714258,-0.0800475,3.5,31.6798,7441.63,0.131733
41,2,0.703843,0.930709,-3.5,35.7228,8240.5,0.130754
41,3,-0.826896,-0.728661,4,29.0854,8250.32,0.130732
43.5,1,0.702743,-0.119189,-3.5,31.5232,6365.57,0.131535
43.5,2,-0.149641,-0.858793,0.5,28.5648,9815.49,0.130559
43.5,3,-0.265861,-0.0511264,1.5,31.7955,9650.27,0.130536
46,1,0.195209,0.599178,-1,34.3967,9545.1,0.131338
46,2,0.2309,0.52647,-1,34.1059,10895.9,0.130364
46,3,-0.470149,0.211725,2.5,32.8469,10645.2,0.13034
48.5,1,0.975648,0.523659,-5,34.0946,12854.5,0.131141
48.5,2,-0.225265,0.639838,1,34.5594,10168,0.130168
48.5,3,-0.271633,-0.704519,1.5,29.1819,7122.5,0.130145
51,1,0.549972,-0.764406,-2.5,28.9424,8854.53,0.130945
51,2,-0.288551,-0.638544,1.5,29.4458,8838.32,0.129972
51,3,0.0651557,0.515498,-0.5,34.062,11188.4,0.12995
53.5,1,-0.132472,-0.914494,0.5,28.342,6516.13,0.130748
53.5,2,0.863147,0.809015,-4.5,35.2361,10471.1,0.129777
53.5,3,0.528904,-0.789974,-2.5,28.8401,12839,0.129755
56,1,0.819543,-0.697963,-4,29.2081,10227.9,0.130551
56,2,-0.753145,-0.562337,4,29.7507,9594.74,0.129582
56,3,0.934129,0.344641,-4.5,33.3786,11392.6,0.129561
58.5,1,0.746082,0.661215,-3.5,34.6449,10198.5,0.130356
58.5,2,-0.816987,0.337253,4,33.349,9064.45,0.129388
58.5,3,-0.554826,-0.0804647,3,31.6781,12275.1,0.129367
2.5,1,0.889042,-0.443322,-4.5,30.2267,8002.21,0.13016
2.5,2,0.35554,0.685602,-2,34.7424,14248.7,0.129194
2.5,3,-0.856966,0.049864,4.5,32.1995,11573.7,0.129173
5,1,0.608943,-0.342515,-3,30.6299,10087.5,0.129965
5,2,0.421241,-0.44106,-2,30.2358,10467.3,0.129001
5,3,0.826302,0.956695,-4,35.8268,10799.4,0.128979
7.5,1,-0.136411,0.259313,0.5,33.0373,13158.4,0.12977
7.5,2,-0.729143,0.0125264,3.5,32.0501,13117.6,0.128807
7.5,3,0.55504,0.935499,-3,35.742,11491.5,0.128786
10,1,-0.876044,-0.826698,4.5,28.6932,8286.62,0.129576
10,2,0.0483376,0.117429,-0,32.4697,10112.9,0.128615
10,3,-0.533608,-0.146605,2.5,31.4136,11796.6,0.128593
12.5,1,0.606629,-0.966937,-3,28.1323,9935.55,0.129381
12.5,2,0.898683,0.132487,-4.5,32.5299,10803.3,0.128422
12.5,3,-0.703243,-0.337207,3.5,30.6512,9115.26,0.128401
15,1,0.531236,0.128273,-2.5,32.5131,9360.27,0.129187
15,2,-0.2475,0.277351,1,33.1094,9449.2,0.12823
15,3,0.954435,-0.351593,-5,30.5936,11261.6,0.128208
17.5,1,-0.470174,-0.609136,2.5,29.5635,7913.65,0.128994
17.5,2,0.208581,0.762508,-1,35.05,9614.43,0.128038
17.5,3,0.151201,0.966422,-1,35.8657,12534.6,0.128016
20,1,0.85124,-0.635751,-4.5,29.457,8881.79,0.1288
