time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
22.5,2,4,5,5495.25,942.144,5,29,0.64
22.5,3,19,12,5819.22,2864.75,3.44444,33,0.64
25,1,12,9,6974.86,5381.6,4.42857,34,0.6144
25,2,12,11,4427.39,3502.86,3.54545,28,0.6272
25,3,6,3,7318.59,1654.69,7.25,30,0.64
27.5,1,7,6,6206.85,3510.59,5.71429,30,0.64
27.5,2,9,12,4237.95,3785.84,2.30769,31,0.64
27.5,3,14,5,6901.55,1845.36,5.3,33,0.64
30,1,10,1,4725.12,3160.86,2.5,30,0.64
30,2,11,11,5751.73,5426.5,5.09091,29,0.6336
30,3,9,8,8537.95,2061.49,6.44444,30,0.6336
32.5,1,20,2,6474.83,4825.39,5.7,35,0.64
32.5,2,5,1,3837.02,1985.94,4,31,0.64
32.5,3,5,3,6650.88,1168.96,4.42857,33,0.64
35,1,9,4,8001.46,4339.98,6.08333,35,0.64
35,2,11,3,3893.94,1639.79,4.66667,28,0.64
35,3,10,2,5926.43,3935.02,3.2,35,0.64
37.5,1,10,4,6600.67,3966.43,4,35,0.64
37.5,2,9,8,4483.6,3210.85,3.44444,33,0.64
37.5,3,11,10,6916.82,663.904,5.72727,29,0.64
40,1,13,9,4698.8,2107.18,2.84615,33,0.64
40,2,6,5,6355.26,2420.75,3.45455,35,0.64
40,3,11,11,6354.69,1759.74,4.42857,32,0.64
42.5,1,10,12,5147.36,2020.75,3.53846,30,0.6272
42.5,2,11,5,5943.1,4102.56,4.18182,34,0.6208
42.5,3,9,7,6825.3,1303.36,5,31,0.64
45,1,10,8,6296.19,2919.18,5.18182,32,0.64
45,2,7,8,5255.22,3104.85,2.66667,32,0.64
45,3,13,4,6043.58,2079.26,3.77778,34,0.64
47.5,1,10,8,4734.05,4113.38,3.6,31,0.64
47.5,2,11,1,5222.06,3321.18,3,35,0.64
47.5,3,9,6,8960.83,1439.57,8,31,0.64
50,1,10,5,5352.77,3622.21,3.22222,33,0.64
50,2,11,1,6474.54,4166.83,5.11111,34,0.64
50,3,9,7,7390.67,1454.11,6.88889,28,0.64
52.5,1,12,4,7109.63,5052.4,5,35,0.64
52.5,2,11,11,5581.22,3074.16,6,29,0.64
52.5,3,7,4,6847.81,1869.55,3.57143,30,0.64
55,1,7,7,5251.6,4282.8,3.57143,29,0.64
55,2,12,5,3978.77,5244.83,3.2,29,0.64
55,3,11,5,10273.4,1668.91,7.9,32,0.64
57.5,1,10,9,6050.51,5143.33,3.15385,34,0.64
57.5,2,8,11,6662.46,3621.09,5.27273,28,0.64
57.5,3,12,8,6047.49,3736.11,3.07692,33,0.64
1.5,1,12,2,4509.38,4708.96,4,32,0.64
1.5,2,11,8,6386.99,5143.6,4.66667,34,0.64
1.5,3,7,4,9009.63,2966.58,6.55556,30,0.64
4,1,12,9,7164.66,4220.24,6.33333,30,0.64
4,2,6,10,4992.29,4234.83,2.91667,28,0.64
4,3,12,1,7868.85,3676.96,5.125,35,0.64
6.5,1,11,9,5436.02,3596.38,4.5,32,0.64
6.5,2,14,10,7610.35,4347.17,5.42857,33,0.64
6.5,3,5,5,6851.82,3159.55,5.71429,29,0.64
9,1,10,3,4368.98,3448.1,5,29,0.2432
9,2,9,5,6629.41,4163.09,5.75,35,0.4416
9,3,11,3,6591.71,4203.12,6.2,35,0.512
11.5,1,13,0,6120.75,3642.72,5.16667,35,0.64
11.5,2,8,7,5944.69,2802.02,6.125,29,0.6208
11.5,3,9,3,6583.84,2133.17,5.22222,33,0.6336
14,1,9,9,5483.89,3095.76,5,28,0.64
14,2,15,3,6145.5,6557.36,5,33,0.64
14,3,6,3,6744.02,3530.08,5.83333,31,0.64
16.5,1,11,1,7387.31,4071.65,6.27273,35,0.64
16.5,2,9,4,4516.82,4408.82,3.75,34,0.64
16.5,3,10,0,7152.75,2882.16,6.33333,34,0.64
19,1,3,0,5731.74,3728.77,4.5,35,0.64
19,2,12,4,6174.66,5423.97,4.6,34,0.6272
19,3,15,13,6132.72,1904,3.93333,31,0.6208
21.5,1,10,9,5613.87,3199.55,4.45455,32,0.64
21.5,2,5,5,5063.3,3510.29,5,29,0.64
21.5,3,15,3,7298.64,3183.55,5,35,0.64
24,1,11,1,7026,2647.68,5.66667,35,0.64
24,2,7,5,5891.92,3626.59,4.90909,34,0.64
24,3,12,3,5223.1,2587.89,3.88889,33,0.64
26.5,1,5,7,5632.99,3113.55,3.875,29,0.64
26.5,2,12,6,5909.63,3763.84,3.5,35,0.64
26.5,3,13,6,5398.38,1632.53,4.2,32,0.64
29,1,10,0,4337.44,3263.89,5,33,0.6336
29,2,10,9,5852.85,3163.17,5.81818,32,0.6208
29,3,10,7,6868.37,1734.43,5.07143,34,0.6272
31.5,1,9,8,5391.97,1801.34,4.11111,30,0.64
31.5,2,6,3,5726.08,3342.27,4,34,0.64
