time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
33.5,300,2,298,0.0272343,-1.11393,0.131322,0.93957,0.919584,0.921185,-1.41043,0.497187,5.50672,2.78381,3.41157,3.03467
36,305,0,303,0.025729,-1.2947,0.132129,1.17557,1.15885,1.152,-1.30239,0.556275,7.92473,4.17241,5.14387,5.226
36,305,1,303,0.0292766,-0.946706,0.131147,0.779526,0.783078,0.782386,-1.34195,0.554238,5.99739,3.23257,3.90149,3.55018
36,305,2,303,0.0257353,-1.16691,0.131125,0.940557,1.00364,0.996672,-1.31032,0.574498,5.56344,2.55171,3.51486,3.12395
38.5,310,0,308,0.0326117,-1.3032,0.131931,1.16433,1.13051,1.13847,-1.35499,0.522556,7.58982,4.06478,5.27056,5.41766
38.5,310,1,308,0.0305563,-0.922976,0.13095,0.772613,0.766429,0.76077,-1.35577,0.549844,5.92005,3.37092,4.00789,3.6392
38.5,310,2,308,0.0235678,-1.13052,0.130929,0.965115,0.963182,0.963204,-1.37844,0.538424,5.59103,2.73287,3.61545,3.21491
41,315,0,313,0.0314223,-1.37396,0.131733,1.2076,1.23426,1.21714,-1.39705,0.547018,7.97148,4.05708,5.39256,5.50821
41,315,1,313,0.0190067,-0.940437,0.130754,0.769647,0.777145,0.770552,-1.31557,0.536513,6.14109,3.29478,4.11347,3.70579
41,315,2,313,0.0221534,-1.1242,0.130732,0.974245,0.933296,0.948628,-1.37844,0.507422,5.38454,2.65316,3.71179,3.27695
43.5,320,0,318,0.0267669,-1.31027,0.131535,1.17512,1.1502,1.16234,-1.35468,0.535082,7.6733,4.09004,5.50181,5.60754
43.5,320,1,318,0.0285143,-0.975091,0.130559,0.8081,0.800002,0.815704,-1.3613,0.548268,5.85827,3.27829,4.20842,3.77027
43.5,320,2,318,0.0298158,-1.19461,0.130536,1.0028,1.01437,1.01023,-1.37661,0.5034,5.75409,2.9457,3.81122,3.36247
46,325,0,323,0.0355812,-1.38114,0.131338,1.18837,1.23248,1.22648,-1.32284,0.583843,7.57931,3.84388,5.60912,5.73094
46,325,1,323,0.0380354,-0.97744,0.130364,0.832375,0.812123,0.808893,-1.38802,0.511878,6.06734,3.21651,4.29368,3.83486
46,325,2,323,0.0290458,-1.20217,0.13034,1.04048,1.03026,1.03011,-1.34429,0.537671,6.01129,2.81581,3.90398,3.44989
48.5,330,0,328,0.023108,-1.3338,0.131141,1.18768,1.19571,1.20903,-1.37582,0.494703,7.70134,4.04513,5.71478,5.87429
48.5,330,1,328,0.033863,-1.0061,0.130168,0.819791,0.838565,0.838444,-1.37368,0.533174,5.96192,3.35842,4.37749,3.91524
48.5,330,2,328,0.040547,-1.19792,0.130145,1.05705,1.00964,1.02303,-1.33797,0.568922,5.61918,2.71215,3.98814,3.54547
51,335,0,333,0.0384292,-1.36221,0.130945,1.25965,1.20935,1.20409,-1.34063,0.565412,7.7015,4.08104,5.81173,5.9622
51,335,1,333,0.0262932,-1.00686,0.129972,0.833846,0.841003,0.844465,-1.3705,0.500778,6.04506,3.20903,4.46431,3.98995
51,335,2,333,0.0268582,-1.27171,0.12995,1.05914,1.09693,1.09687,-1.34592,0.577973,5.81639,2.80016,4.06521,3.60982
53.5,340,0,338,0.0336418,-1.37964,0.130748,1.23874,1.23063,1.23918,-1.36501,0.518455,7.39239,3.81281,5.89838,6.03187
53.5,340,1,338,0.0286439,-1.0316,0.129777,0.857434,0.858232,0.8564,-1.36571,0.556481,5.97764,3.2011,4.54118,4.03991
53.5,340,2,338,0.0352778,-1.21116,0.129755,1.04907,1.04872,1.04448,-1.33999,0.583031,5.82131,2.75267,4.15161,3.66612
56,345,0,343,0.0360509,-1.35309,0.130551,1.20327,1.20258,1.20138,-1.35685,0.535053,7.54066,4.0565,5.9825,6.11432
56,345,1,343,0.0248198,-1.03282,0.129582,0.876178,0.867988,0.881585,-1.3885,0.503546,6.22775,3.34722,4.61808,4.09101
56,345,2,343,0.0399727,-1.27783,0.129561,1.12096,1.08087,1.09018,-1.35797,0.533809,5.73288,2.5969,4.22765,3.72411
58.5,350,0,348,0.026494,-1.44488,0.130356,1.30087,1.29255,1.28692,-1.35093,0.539265,7.74289,3.96927,6.05852,6.18559
58.5,350,1,348,0.0247928,-1.05313,0.129388,0.878114,0.89429,0.876455,-1.36625,0.540791,6.24277,3.22344,4.69441,4.15192
58.5,350,2,348,0.0334528,-1.30287,0.129367,1.0877,1.14398,1.11971,-1.32832,0.560086,5.56891,2.65119,4.30723,3.80667
2.5,355,0,352,0.0342338,-1.43322,0.13016,1.24104,1.27049,1.27417,-1.35029,0.511785,7.46369,3.91785,6.12997,6.25955
2.5,355,1,352,0.0381175,-1.09714,0.129194,0.923765,0.900944,0.926243,-1.3452,0.492024,6.02325,3.22771,4.76343,4.21485
2.5,355,2,352,0.0488463,-1.26211,0.129173,1.10754,1.05438,1.09509,-1.32713,0.547979,5.78986,3.0022,4.38632,3.87916
5,360,0,357,0.0341648,-1.41858,0.129965,1.29037,1.28984,1.28734,-1.35664,0.527757,7.80936,4.08054,6.20118,6.36363
5,360,1,357,0.0273511,-1.06135,0.129001,0.901066,0.917919,0.876237,-1.41097,0.499895,6.15635,3.40471,4.83347,4.28203
5,360,2,357,0.0281394,-1.29471,0.128979,1.11056,1.13127,1.1199,-1.28949,0.556481,5.45974,2.57881,4.451,3.93842
7.5,365,0,362,0.0281775,-1.46611,0.12977,1.30606,1.30487,1.30504,-1.37888,0.522496,7.62311,3.99552,6.26979,6.4369
7.5,365,1,362,0.0262043,-1.09443,0.128807,0.940266,0.903852,0.94798,-1.36893,0.519386,6.09571,3.02269,4.90063,4.32956
7.5,365,2,362,0.0248426,-1.32909,0.128786,1.14057,1.15272,1.14851,-1.37654,0.521991,5.93318,2.63092,4.52008,3.99552
10,370,0,367,0.033838,-1.41734,0.129576,1.30089,1.29045,1.28599,-1.37365,0.505096,7.43155,4.0272,6.32632,6.55184
10,370,1,367,0.031866,-1.08218,0.128615,0.915311,0.928183,0.914505,-1.32613,0.53091,5.8393,3.34732,4.96013,4.40442
10,370,2,367,0.0325905,-1.32097,0.128593,1.14895,1.1383,1.13757,-1.37114,0.510817,5.7499,2.92558,4.58676,4.08178
12.5,375,0,372,0.0529768,-1.40339,0.129381,1.30402,1.24247,1.25453,-1.36679,0.522153,7.36376,4.38969,6.38825,6.67126
12.5,375,1,372,0.0367458,-1.07488,0.128422,0.926392,0.887764,0.902688,-1.3738,0.53014,5.75336,3.27993,5.01503,4.47099
12.5,375,2,372,0.0495471,-1.26112,0.128401,1.11406,1.0865,1.09167,-1.30932,0.562841,5.41175,2.9758,4.64452,4.17662
