time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
8.1,1890,0,1858,0.227284,-6.71376,0.0820961,6.72579,6.60864,6.63405,-0.0616083,0.646836,6.95135,3.70531,7.29456,6.81639
8.1,1890,1,1858,0.275051,-6.8983,0.0816899,6.93559,6.81281,6.76014,-0.862381,0.574234,6.8139,3.77496,6.79101,6.41236
8.1,1890,2,1858,0.2498,-6.7688,0.0818471,6.67242,6.68001,6.67557,-0.081997,0.641334,7.29433,3.88945,7.38609,6.72389
8.6,1895,0,1863,0.246404,-7.17119,0.0819823,7.08557,7.11302,7.04791,-0.12184,0.663745,7.24914,3.9548,7.29247,6.83481
8.6,1895,1,1863,0.233072,-6.98056,0.0815673,6.85542,6.92243,6.93637,-0.53634,0.633521,6.7158,3.62818,6.78009,6.41033
8.6,1895,2,1863,0.187927,-6.73787,0.0817317,6.59024,6.63988,6.64921,0.047165,0.643195,7.21392,3.85118,7.37855,6.78354
9.1,1900,0,1868,0.360937,-6.89324,0.0818705,6.74583,6.81852,6.94287,0.0746495,0.679067,7.18826,3.73921,7.29366,6.84571
9.1,1900,1,1868,0.17869,-6.95982,0.0814479,6.87585,6.89904,6.8567,-0.835475,0.577556,6.72124,3.53312,6.78041,6.41943
9.1,1900,2,1868,0.177817,-6.77533,0.081616,6.61764,6.66846,6.66045,-0.188297,0.632313,7.47632,3.94278,7.37567,6.76993
9.6,1905,0,1873,0.378469,-6.60817,0.0817573,6.71009,6.60745,6.54047,-0.0240451,0.65354,7.18513,3.93261,7.2859,6.85914
9.6,1905,1,1873,0.219126,-7.02669,0.0813276,6.9148,6.97957,6.98199,-0.857898,0.550545,6.72456,3.56422,6.77678,6.42017
9.6,1905,2,1873,0.205013,-6.7249,0.081499,6.67124,6.7166,6.72475,0.114776,0.697396,7.39979,3.95304,7.37592,6.80551
10.1,1910,0,1878,0.348088,-6.84182,0.0816385,6.86203,6.85406,6.64226,-0.101959,0.656719,7.14033,3.77773,7.28392,6.90358
10.1,1910,1,1878,0.197269,-7.06642,0.0812076,6.9775,7.00087,7.01473,-0.811742,0.582095,7.04908,3.628,6.7718,6.41591
10.1,1910,2,1878,0.260876,-6.82445,0.0813872,6.75108,6.77341,6.75917,0.175644,0.709054,7.3016,3.69288,7.36988,6.83417
10.6,1915,0,1883,0.294933,-7.00666,0.0815167,6.92936,6.9708,7.03677,-0.24981,0.660058,7.11934,3.97602,7.27585,6.93658
10.6,1915,1,1883,0.217123,-6.94347,0.0810873,6.81,6.86643,6.87652,-0.722908,0.58294,6.74578,3.62107,6.76615,6.42593
10.6,1915,2,1883,0.250146,-6.75245,0.0812778,6.67273,6.65604,6.66753,-0.0550245,0.66017,7.30152,3.78931,7.36888,6.87634
11.1,1920,0,1888,0.260317,-6.90579,0.0813984,6.86689,6.84969,6.91188,-0.284576,0.631957,7.27166,3.8314,7.26983,6.93886
11.1,1920,1,1888,0.221663,-7.0826,0.0809656,7.04518,7.00422,6.99702,-0.874785,0.597816,6.77436,3.7805,6.76437,6.46226
11.1,1920,2,1888,0.202738,-6.86939,0.0811646,6.79729,6.81124,6.76054,-0.327859,0.638027,7.27379,3.83479,7.36877,6.86288
11.6,1925,0,1893,0.308524,-6.74803,0.081278,6.74802,6.76308,6.60812,-0.125543,0.649891,7.23,3.44384,7.26659,6.94319
11.6,1925,1,1893,0.229422,-6.96611,0.0808434,6.86253,6.86684,6.85482,-0.794585,0.572248,6.70891,3.40958,6.76499,6.49824
11.6,1925,2,1893,0.243821,-6.64843,0.0810479,6.55967,6.51689,6.62153,-0.095136,0.637751,7.57801,3.77129,7.36256,6.87102
12.1,1930,0,1898,0.472051,-7.04432,0.0811614,6.88445,6.94811,7.05171,-0.21609,0.633918,6.82173,3.92004,7.26373,6.94943
12.1,1930,1,1898,0.282673,-7.03702,0.0807233,6.96401,7.02162,7.00739,-0.910537,0.564705,6.60484,3.68668,6.75647,6.51049
12.1,1930,2,1898,0.174915,-6.84355,0.0809303,6.70936,6.80568,6.71923,-0.286044,0.685018,7.34599,4.1587,7.35901,6.91195
12.6,1935,0,1903,0.354779,-6.96286,0.0810446,6.94092,6.89628,6.90177,0.00330533,0.687417,7.42829,3.66827,7.26694,6.93791
12.6,1935,1,1903,0.180944,-7.078,0.0806041,6.98375,7.00461,7.03712,-0.944853,0.571714,6.89386,3.40331,6.75195,6.47585
12.6,1935,2,1903,0.2619,-6.7435,0.0808149,6.735,6.64432,6.73272,0.223006,0.688309,7.0668,3.71152,7.35278,6.91998
13.1,1940,0,1908,0.382046,-7.03857,0.0809294,6.93592,6.93457,6.93432,-0.10545,0.663984,7.14831,3.95557,7.26621,6.95595
13.1,1940,1,1908,0.258102,-7.03959,0.0804851,7.00309,6.98326,6.96949,-0.655031,0.59374,6.60274,3.57066,6.74713,6.46041
13.1,1940,2,1908,0.294572,-7.05563,0.0807055,6.97987,6.99181,6.9116,0.0279252,0.668948,7.56758,4.24538,7.34876,6.93839
13.6,1945,0,1913,0.381509,-6.95154,0.0808142,6.91636,6.877,6.84755,-0.092117,0.688504,7.05643,3.82737,7.25661,6.95187
13.6,1945,1,1913,0.352129,-7.10633,0.0803666,7.07508,7.00297,7.01249,-0.804956,0.571415,6.63415,3.77877,6.74665,6.4826
13.6,1945,2,1913,0.508673,-6.93163,0.0805965,6.88214,6.81241,6.8686,-0.132118,0.638208,7.19526,4.12979,7.34714,6.99156
14.1,1950,0,1918,0.403009,-7.18977,0.0806985,7.07301,7.17318,7.11831,-0.411892,0.639819,7.22032,3.75414,7.25019,6.95766
14.1,1950,1,1918,0.19427,-7.2148,0.0802473,7.12143,7.16903,7.16961,-0.862347,0.549913,6.85937,3.8133,6.74249,6.50879
14.1,1950,2,1918,0.272553,-6.94591,0.0804836,6.79329,6.93154,6.86845,0.11922,0.688206,7.1547,3.93464,7.34235,7.03816
14.6,1955,0,1923,0.272136,-7.11898,0.0805802,7.18788,7.07234,7.05426,-0.148106,0.640009,6.97007,3.85205,7.23926,6.95651
14.6,1955,1,1923,0.354831,-6.9661,0.0801279,6.99447,6.90975,6.90373,-1.04491,0.553486,6.70215,3.63186,6.74332,6.56566
14.6,1955,2,1923,0.171801,-6.90952,0.0803673,6.70944,6.78149,6.79483,-0.0141301,0.679794,7.3913,4.03672,7.34243,7.05493
15.1,1960,0,1928,0.331579,-7.09308,0.0804633,7.02027,6.94232,6.96298,-0.0425082,0.691486,6.85734,3.48641,7.23087,6.97162
15.1,1960,1,1928,0.206974,-7.32476,0.080006,7.15751,7.21365,7.18936,-0.614652,0.624069,7.04129,3.53894,6.74159,6.58173
15.1,1960,2,1928,0.275966,-7.07389,0.0802518,6.99646,6.97922,6.97161,0.212491,0.689119,7.70376,3.98697,7.33806,7.09923
15.6,1965,0,1933,0.21953,-7.21175,0.0803474,7.08347,7.09503,7.05438,-0.0953332,0.658892,6.99017,3.94665,7.22386,6.97029
15.6,1965,1,1933,0.218458,-7.24608,0.0798856,7.09606,7.17919,7.20108,-0.745703,0.592594,6.44927,3.8537,6.73841,6.60731
15.6,1965,2,1933,0.291646,-7.05289,0.0801388,6.94552,6.96558,6.98029,-0.155798,0.658096,7.3571,4.28165,7.33993,7.1365
16.1,1970,0,1938,0.390989,-7.13038,0.0802316,7.07624,7.07125,7.15496,0.0305644,0.68075,6.97464,4.0029,7.21604,6.99898
16.1,1970,1,1938,0.243627,-7.33118,0.079766,7.20775,7.23122,7.22559,-0.663594,0.597423,6.73605,3.97701,6.73426,6.63459
16.1,1970,2,1938,0.252665,-7.03684,0.0800256,7.04805,6.97166,6.94183,-0.271674,0.659363,7.15265,4.08655,7.3332,7.14832
16.6,1975,0,1943,0.34652,-7.14212,0.0801206,7.24678,7.11032,7.0633,0.0909298,0.662955,7.05382,4.00855,7.21027,7.00999
16.6,1975,1,1943,0.191499,-7.25157,0.0796503,7.20493,7.21723,7.19963,-0.902035,0.55868,6.72544,3.90753,6.7316,6.66881
16.6,1975,2,1943,0.276946,-7.19545,0.0799117,7.05817,7.12681,7.16634,0.161687,0.69265,7.20025,4.08359,7.33099,7.19981
17.1,1980,0,1948,0.341645,-7.131,0.0800149,7.03209,7.01531,7.0042,-0.346176,0.6122,6.88285,3.91736,7.20466,7.03701
17.1,1980,1,1948,0.356064,-7.20455,0.0795333,7.21766,7.12402,7.17809,-0.747381,0.604272,6.85115,3.95547,6.73348,6.67131
17.1,1980,2,1948,0.439616,-6.91644,0.0798035,6.89933,6.94284,6.88593,0.0951387,0.682673,7.08589,3.9033,7.32482,7.22071
17.6,1985,0,1953,0.243643,-7.14019,0.0799014,7.05359,7.05694,7.13025,-0.445481,0.600556,7.13252,4.03152,7.19554,7.05341
17.6,1985,1,1953,0.233728,-7.29046,0.0794167,7.14283,7.30596,7.22542,-0.769077,0.568956,6.63391,3.76648,6.73178,6.69287
17.6,1985,2,1953,0.200448,-7.01721,0.0796966,6.92639,6.87732,6.91161,0.198812,0.681759,7.2821,4.03249,7.32267,7.2707
18.1,1990,0,1958,0.326619,-7.07508,0.0797862,7.11657,7.05038,6.92356,-0.107346,0.643545,7.24187,4.01397,7.19899,7.05408
18.1,1990,1,1958,0.187575,-7.35183,0.0792997,7.28283,7.28309,7.33252,-0.927605,0.525409,6.36644,3.72076,6.72372,6.6894
18.1,1990,2,1958,0.158503,-7.19184,0.0795936,6.99318,7.12252,7.08885,0.234177,0.689117,7.43833,3.97633,7.32615,7.27754
18.6,1995,0,1963,0.378271,-7.12381,0.0796742,7.06876,7.00206,7.09229,-0.289426,0.628277,6.84149,3.58862,7.18748,7.04463
18.6,1995,1,1963,0.245058,-7.21136,0.0791819,7.15131,7.13898,7.09803,-0.690487,0.628326,6.54285,3.46901,6.71926,6.70205
18.6,1995,2,1963,0.324186,-7.00476,0.0794894,7.08773,6.95838,6.98614,0.447945,0.722855,7.50889,4.05732,7.32192,7.33496
19.1,2000,0,1968,0.254927,-7.13834,0.0795588,6.99955,7.06136,7.04614,-0.0426124,0.667446,7.25218,3.92832,7.18295,7.03417
19.1,2000,1,1968,0.175677,-7.29527,0.079066,7.23818,7.21231,7.27874,-0.829062,0.614111,6.54431,3.55114,6.71219,6.68499
19.1,2000,2,1968,0.232286,-7.13825,0.0793899,7.12071,6.98982,7.02012,0.151668,0.681369,7.14332,4.09052,7.31791,7.37036
19.6,2005,0,1973,0.266578,-7.23013,0.0794425,7.17258,7.111,7.10828,0.0681649,0.686529,6.92598,4.09962,7.17217,7.04559
19.6,2005,1,1973,0.147238,-7.32367,0.0789511,7.25241,7.28821,7.27433,-0.779279,0.596886,6.55741,3.68648,6.70704,6.71658
19.6,2005,2,1973,0.303938,-7.32024,0.0792889,7.24763,7.27287,7.27441,0.249374,0.700363,7.23451,4.2797,7.30761,7.39103
20.1,2010,0,1978,0.244665,-7.35858,0.0793282,7.28623,7.26053,7.27963,-0.125172,0.641135,7.10276,3.88112,7.16562,7.02909
20.1,2010,1,1978,0.16872,-7.40578,0.0788354,7.34443,7.3466,7.33706,-0.709947,0.5766,6.76129,3.83333,6.70728,6.7281
20.1,2010,2,1978,0.228552,-7.22687,0.0791885,7.25355,7.17596,7.14782,-0.200307,0.671124,7.10684,4.21613,7.30595,7.4002
20.6,2015,0,1983,0.344629,-7.27188,0.0792146,7.26528,7.18866,7.20379,-0.274623,0.619732,6.92359,3.5949,7.16516,7.07481
20.6,2015,1,1983,0.216025,-7.33429,0.0787185,7.24795,7.27571,7.31027,-0.941809,0.559009,6.81388,3.65126,6.70721,6.74066
20.6,2015,2,1983,0.232163,-7.10002,0.0790836,6.92003,6.95544,6.95224,-0.0578341,0.671387,7.51996,4.10999,7.30475,7.44366
21.1,2020,0,1988,0.303603,-7.41323,0.0791002,7.21676,7.28004,7.26986,0.0303345,0.664398,7.47318,3.73277,7.16236,7.07945
21.1,2020,1,1988,0.274045,-7.22317,0.0786017,7.1738,7.15487,7.13513,-0.850288,0.54079,6.52204,3.38776,6.70202,6.76835
21.1,2020,2,1988,0.215203,-7.11657,0.0789762,6.99231,7.03532,7.05362,0.122879,0.697509,7.44098,3.75848,7.30258,7.47208
21.6,2025,0,1993,0.367121,-7.2914,0.0789888,7.27979,7.2662,7.33357,-0.0690516,0.658437,6.47931,3.99391,7.14281,7.08102
21.6,2025,1,1993,0.259962,-7.33235,0.0784865,7.33447,7.29059,7.25574,-0.806522,0.538801,6.85316,4.10446,6.69785,6.77266
21.6,2025,2,1993,0.343931,-7.17984,0.0788664,7.20539,7.10055,7.13553,0.217036,0.682981,7.3081,4.34217,7.2921,7.51669
22.1,2030,0,1998,0.250294,-7.08878,0.0788765,7.10923,7.00313,6.91674,-0.138949,0.689967,7.17794,3.89439,7.13858,7.0776
