time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
36.8,1,0.357343,0.619591,-2,34.4784,8782.08,0.104222
36.8,2,0.285641,0.661377,-1.5,34.6455,9460.96,0.103189
36.8,3,0.393167,0.71216,-2,34.8486,8636,0.102786
37.3,1,0.359978,0.625008,-2,34.5,9036.72,0.104222
37.3,2,0.286204,0.662614,-1.5,34.6505,7774,0.103189
37.3,3,0.39407,0.70705,-2,34.8282,8689.92,0.102786
37.8,1,0.38968,0.651554,-2,34.6062,9210.4,0.104222
37.8,2,0.262049,0.680287,-1.5,34.7211,8892.24,0.103189
37.8,3,0.379916,0.683239,-2,34.733,7344,0.102786
38.3,1,0.390546,0.651036,-2,34.6041,9380.72,0.104222
38.3,2,0.261641,0.679942,-1.5,34.7198,8683.12,0.103189
38.3,3,0.380435,0.67991,-2,34.7196,7908.64,0.102786
38.8,1,0.372223,0.662087,-2,34.6483,10223.8,0.104222
38.8,2,0.268297,0.655789,-1.5,34.6232,9031.6,0.103189
38.8,3,0.371273,0.662969,-2,34.6519,10495.9,0.102786
39.3,1,0.38797,0.673979,-2,34.6959,9333.36,0.104222
39.3,2,0.26372,0.654981,-1.5,34.6199,7651.6,0.103189
39.3,3,0.386972,0.673611,-2,34.6944,8773.92,0.102786
39.8,1,0.422662,0.677415,-2,34.7097,8239.92,0.104222
39.8,2,0.263701,0.655028,-1.5,34.6201,8584.88,0.103189
39.8,3,0.42314,0.68427,-2,34.7371,9414.16,0.102786
40.3,1,0.393836,0.710729,-2,34.8429,8752,0.104222
40.3,2,0.264119,0.655145,-1.5,34.6206,8955.52,0.103189
40.3,3,0.315456,0.677913,-1.5,34.7117,10087.4,0.102786
40.8,1,0.396523,0.716887,-2,34.8675,9610.48,0.104222
40.8,2,0.263822,0.65498,-1.5,34.6199,9080,0.103189
40.8,3,0.317103,0.68101,-1.5,34.724,8768.96,0.102786
41.3,1,0.454826,0.717835,-2.5,34.8713,8420.16,0.104222
41.3,2,0.246115,0.643948,-1,34.5758,9640.08,0.103189
41.3,3,0.321175,0.699578,-1.5,34.7983,9547.2,0.102786
41.8,1,0.454046,0.720074,-2.5,34.8803,7625.52,0.104222
41.8,2,0.245985,0.643958,-1,34.5758,8751.68,0.103189
41.8,3,0.328557,0.709183,-1.5,34.8367,8195.6,0.102786
42.3,1,0.375514,0.664958,-2,34.6598,9239.04,0.104222
42.3,2,0.294317,0.660205,-1.5,34.6408,7200.48,0.103189
42.3,3,0.38766,0.671449,-2,34.6858,9742.4,0.102786
42.8,1,0.378317,0.647249,-2,34.589,7981.12,0.104222
42.8,2,0.260458,0.65545,-1.5,34.6218,8741.12,0.103189
42.8,3,0.396627,0.68115,-2,34.7246,8285.2,0.102786
43.3,1,0.348324,0.630196,-1.5,34.5208,7923.92,0.104222
43.3,2,0.252201,0.657512,-1.5,34.63,8559.84,0.103189
43.3,3,0.411568,0.681494,-2,34.726,9207.28,0.102786
43.8,1,0.411968,0.654408,-2,34.6176,9468.08,0.104222
43.8,2,0.254909,0.684711,-1.5,34.7388,10339.1,0.103189
43.8,3,0.396441,0.670282,-2,34.6811,8426.48,0.102786
44.3,1,0.412071,0.655744,-2,34.623,9171.44,0.104222
44.3,2,0.254909,0.684711,-1.5,34.7388,10272.3,0.103189
44.3,3,0.399807,0.673573,-2,34.6943,8953.44,0.102786
44.8,1,0.37072,0.661127,-2,34.6445,8633.28,0.104222
44.8,2,0.28974,0.660502,-1.5,34.642,8256.48,0.103189
44.8,3,0.382426,0.665681,-2,34.6627,9815.28,0.102786
45.3,1,0.363904,0.634997,-2,34.54,8110.4,0.104222
45.3,2,0.257485,0.65568,-1.5,34.6227,9957.28,0.103189
45.3,3,0.424159,0.69204,-2,34.7682,9981.84,0.102786
45.8,1,0.403927,0.646907,-2,34.5876,9810.96,0.104222
45.8,2,0.258044,0.655644,-1.5,34.6226,10114.3,0.103189
45.8,3,0.424618,0.678815,-2,34.7153,9669.84,0.102786
46.3,1,0.369436,0.68643,-2,34.7457,9434.08,0.104222
46.3,2,0.28994,0.667043,-1.5,34.6682,11594,0.103189
46.3,3,0.321091,0.658049,-1.5,34.6322,9416.16,0.102786
46.8,1,0.371294,0.689105,-2,34.7564,9800,0.104222
46.8,2,0.28798,0.666015,-1.5,34.6641,10861.9,0.103189
46.8,3,0.321725,0.65849,-1.5,34.634,9645.92,0.102786
47.3,1,0.368857,0.671936,-2,34.6877,8305.04,0.104222
47.3,2,0.267612,0.655312,-1.5,34.6212,11898.1,0.103189
47.3,3,0.360829,0.668119,-2,34.6725,8944.8,0.102786
47.8,1,0.375198,0.680457,-2,34.7218,9235.68,0.104222
47.8,2,0.291518,0.66924,-1.5,34.677,8677.12,0.103189
47.8,3,0.335951,0.676936,-1.5,34.7077,8271.92,0.102786
48.3,1,0.361478,0.616219,-2,34.4649,8214.88,0.104222
48.3,2,0.28827,0.66333,-1.5,34.6533,8261.36,0.103189
48.3,3,0.333993,0.685763,-1.5,34.7431,10287.8,0.102786
48.8,1,0.396109,0.646026,-2,34.5841,7878.4,0.104222
48.8,2,0.31837,0.676089,-1.5,34.7044,9970.4,0.103189
48.8,3,0.401954,0.69778,-2,34.7911,9132.72,0.102786
49.3,1,0.400362,0.645118,-2,34.5805,9469.36,0.104222
49.3,2,0.319692,0.673138,-1.5,34.6926,8377.44,0.103189
49.3,3,0.396294,0.696411,-2,34.7856,10135.5,0.102786
49.8,1,0.360643,0.625651,-2,34.5026,8927.52,0.104222
49.8,2,0.254529,0.646674,-1.5,34.5867,10560.4,0.103189
49.8,3,0.37133,0.668701,-2,34.6748,8360.16,0.102786
50.3,1,0.356851,0.616684,-2,34.4667,8644.8,0.104222
50.3,2,0.255149,0.646309,-1.5,34.5852,9966.56,0.103189
50.3,3,0.367822,0.663692,-2,34.6548,8600.72,0.102786
50.8,1,0.361813,0.621252,-2,34.485,8710.16,0.104222
50.8,2,0.290319,0.662217,-1.5,34.6489,8779.04,0.103189
50.8,3,0.313675,0.694383,-1.5,34.7775,9315.6,0.102786
51.3,1,0.384238,0.639329,-2,34.5573,8945.84,0.104222
51.3,2,0.288218,0.666026,-1.5,34.6641,9820.8,0.103189
51.3,3,0.402066,0.687641,-2,34.7506,9705.84,0.102786
51.8,1,0.416126,0.661585,-2,34.6463,9260.8,0.104222
51.8,2,0.319262,0.674412,-1.5,34.6976,9607.6,0.103189
51.8,3,0.412033,0.686327,-2,34.7453,10055.3,0.102786
52.3,1,0.392555,0.667188,-2,34.6688,10054.5,0.104222
52.3,2,0.306325,0.687194,-1.5,34.7488,9539.68,0.103189
52.3,3,0.287019,0.665457,-1.5,34.6618,7930,0.102786
52.8,1,0.398655,0.663968,-2,34.6559,11894.3,0.104222
52.8,2,0.313227,0.68147,-1.5,34.7259,10515.4,0.103189
52.8,3,0.289163,0.691408,-1.5,34.7656,8168.24,0.102786
53.3,1,0.389551,0.709935,-2,34.8397,9009.36,0.104222
53.3,2,0.272211,0.657925,-1.5,34.6317,9377.84,0.103189
53.3,3,0.371308,0.639971,-2,34.5599,9685.44,0.102786
53.8,1,0.381951,0.704188,-2,34.8168,9738.4,0.104222
53.8,2,0.26932,0.659468,-1.5,34.6379,11168,0.103189
53.8,3,0.351415,0.676347,-2,34.7054,7604.56,0.102786
54.3,1,0.3669,0.616727,-2,34.4669,9388.56,0.104222
54.3,2,0.265681,0.655269,-1.5,34.6211,9119.92,0.103189
54.3,3,0.35034,0.680522,-2,34.7221,10661.8,0.102786
54.8,1,0.394408,0.647805,-2,34.5912,9028.32,0.104222
54.8,2,0.318501,0.678244,-1.5,34.713,9067.52,0.103189
54.8,3,0.418123,0.701136,-2,34.8045,9618.16,0.102786
55.3,1,0.394297,0.647863,-2,34.5915,8840.48,0.104222
55.3,2,0.317651,0.67994,-1.5,34.7198,8472.08,0.103189
55.3,3,0.41676,0.684203,-2,34.7368,10325.3,0.102786
55.8,1,0.352526,0.648644,-2,34.5946,11894.4,0.104222
55.8,2,0.23588,0.660812,-1,34.6432,10297.4,0.103189
55.8,3,0.356693,0.677027,-2,34.7081,7986.4,0.102786
56.3,1,0.351117,0.647726,-2,34.5909,10153.6,0.104222
56.3,2,0.232491,0.657496,-1,34.63,9737.2,0.103189
56.3,3,0.365501,0.656933,-2,34.6277,8806.4,0.102786
56.8,1,0.356559,0.606444,-2,34.4258,9985.2,0.104222
56.8,2,0.259856,0.654869,-1.5,34.6195,9084.96,0.103189
56.8,3,0.351515,0.676695,-2,34.7068,10572.8,0.102786
57.3,1,0.389303,0.640585,-2,34.5623,11535.5,0.104222
57.3,2,0.315868,0.680229,-1.5,34.7209,10071.5,0.103189
57.3,3,0.406805,0.687747,-2,34.751,10198.8,0.102786
57.8,1,0.380994,0.657725,-2,34.6309,9378.08,0.104222
57.8,2,0.334295,0.701554,-1.5,34.8062,8891.04,0.103189
57.8,3,0.43772,0.686073,-2,34.7443,11462,0.102786
58.3,1,0.434949,0.674387,-2,34.6975,9731.04,0.104222
58.3,2,0.324136,0.711359,-1.5,34.8454,9793.28,0.103189
58.3,3,0.290074,0.687581,-1.5,34.7503,8713.2,0.102786
58.8,1,0.425129,0.672478,-2,34.6899,9322.88,0.104222
