10.4,2,11,0,10948.2,5036.32,0,35,0.64
10.4,3,9,0,14201.7,4048.64,0,34,0.64
10.9,1,10,0,9021.6,6562.08,0,35,0.64
10.9,2,11,0,11721,5246.48,0,35,0.64
10.9,3,9,0,14301.6,3998.48,0,34,0.64
11.4,1,10,0,9211.84,6021.52,0,35,0.64
11.4,2,11,0,11754.5,5499.6,0,34,0.64
11.4,3,9,0,15132.6,3922.88,0,34,0.64
11.9,1,10,0,9021.6,6612.96,0,35,0.64
11.9,2,11,0,11875.4,5052.4,0,35,0.64
11.9,3,9,0,13730.6,4094.48,0,34,0.64
12.4,1,10,0,9021.6,6250.88,0,35,0.64
12.4,2,11,0,11778.3,5130,0,35,0.64
12.4,3,9,0,13975.7,4046.48,0,34,0.64
12.9,1,10,0,9021.6,5971.2,0,35,0.64
12.9,2,11,0,11764.9,5149.68,0,35,0.64
12.9,3,9,0,13795.9,3998.32,0,34,0.64
13.4,1,10,0,9317.68,5646.32,0,35,0.64
13.4,2,11,0,11793,5132.96,0,35,0.64
13.4,3,9,0,13963.8,3927.44,0,34,0.64
13.9,1,10,0,9226.4,5950.56,0,35,0.64
13.9,2,11,0,11792.9,4792.48,0,35,0.64
13.9,3,9,0,13568.2,4010.4,0,34,0.64
14.4,1,10,0,9273.68,6016.64,0,35,0.64
14.4,2,11,0,11072.3,4480,0,35,0.64
14.4,3,9,0,13558.1,4082.16,0,34,0.64
14.9,1,10,0,9021.6,5835.76,0,35,0.64
14.9,2,11,0,11890.1,4692.4,0,35,0.64
14.9,3,9,0,13654.4,4005.76,0,34,0.64
15.4,1,10,0,9345.6,5580.32,0,35,0.64
15.4,2,11,0,12094.9,4752.88,0,35,0.64
15.4,3,9,0,13527.8,3935.28,0,34,0.64
15.9,1,10,0,9566.24,5423.76,0,35,0.64
15.9,2,11,0,11803.4,5190.32,0,34,0.64
15.9,3,9,0,13743.9,3925.68,0,34,0.64
16.4,1,10,0,9345.6,5727.84,0,35,0.64
16.4,2,11,0,11881.8,4350.72,0,35,0.64
16.4,3,9,0,13497,4066.32,0,34,0.64
16.9,1,10,0,9660.4,5744.72,0,35,0.64
16.9,2,11,0,11510.9,4145.76,0,35,0.64
16.9,3,9,0,13229.9,4107.2,0,34,0.64
17.4,1,10,0,9782.88,5458.56,0,35,0.64
17.4,2,11,0,10403.7,5184.88,0,34,0.64
17.4,3,9,0,12996.2,3805.2,0,34,0.64
17.9,1,10,0,9797.6,5425.04,0,35,0.64
17.9,2,11,0,10326.6,3937.36,0,34,0.64
17.9,3,9,0,13867.2,3807.44,0,34,0.64
18.4,1,10,0,9797.6,5174,0,35,0.64
18.4,2,11,0,9845.76,4045.12,0,34,0.64
18.4,3,9,0,13968.8,3807.2,0,34,0.64
18.9,1,10,0,10228.3,5096.4,0,35,0.64
18.9,2,11,0,9325.6,3982.24,0,34,0.64
18.9,3,9,0,13803,3847.6,0,34,0.64
19.4,1,10,0,10104.8,5115.6,0,35,0.64
19.4,2,11,0,9460.72,3949.12,0,34,0.64
19.4,3,9,0,14116.2,3797.68,0,34,0.64
19.9,1,10,0,10104.8,5096.48,0,35,0.64
19.9,2,11,0,9477.12,3961.76,0,34,0.64
19.9,3,9,0,14070.3,3707.52,0,34,0.64
20.4,1,10,0,10104.8,5154.24,0,35,0.64
20.4,2,11,0,9381.04,3981.12,0,34,0.64
20.4,3,9,0,13831.7,3722.08,0,34,0.64
20.9,1,10,0,10104.8,5102.08,0,35,0.64
20.9,2,11,0,9381.04,3942.56,0,34,0.64
20.9,3,9,0,13931.5,3659.36,0,34,0.64
21.4,1,10,0,10104.8,5046.24,0,35,0.64
21.4,2,11,0,9276.64,4067.36,0,34,0.64
21.4,3,9,0,13871.4,3661.2,0,34,0.64
21.9,1,10,0,10179.4,5030.24,0,35,0.64
21.9,2,11,0,9372.72,4009.92,0,34,0.64
21.9,3,9,0,13365.8,3521.04,0,34,0.64
22.4,1,10,0,10550.4,4790.24,0,35,0.64
22.4,2,11,0,8853.84,4062.8,0,34,0.64
22.4,3,9,0,13219.8,3485.68,0,34,0.64
22.9,1,10,0,10646.6,4789.36,0,35,0.64
22.9,2,11,0,9014.16,4007.28,0,34,0.64
22.9,3,9,0,12917.3,3497.84,0,34,0.64
23.4,1,10,0,10550.4,4724.24,0,35,0.64
23.4,2,11,0,8979.28,3893.92,0,34,0.64
23.4,3,9,0,12821.3,3535.68,0,34,0.64
23.9,1,10,0,10550.4,4744.8,0,35,0.64
23.9,2,11,0,8827.6,3968.24,0,34,0.64
23.9,3,9,0,13699.2,3498.16,0,34,0.64
24.4,1,10,0,10550.4,4478.96,0,35,0.64
24.4,2,11,0,9042.32,3848.64,0,34,0.64
24.4,3,9,0,13769.9,3445.6,0,34,0.64
24.9,1,10,0,10435.2,4398.48,0,35,0.64
24.9,2,11,0,9042.32,3596.48,0,34,0.64
24.9,3,9,0,13670.5,3460.64,0,34,0.64
25.4,1,10,0,10854.7,4392.08,0,35,0.64
25.4,2,11,0,8979.2,3445.76,0,34,0.64
25.4,3,9,0,13754.9,3435.36,0,34,0.64
25.9,1,10,0,11277.1,4071.52,0,35,0.64
25.9,2,11,0,9271.76,3430.08,0,34,0.64
25.9,3,9,0,13652.1,3447.68,0,34,0.64
26.4,1,10,0,11288.6,4093.6,0,35,0.64
26.4,2,11,0,9194,3297.12,0,34,0.64
26.4,3,9,0,13616.2,3418.64,0,34,0.64
26.9,1,10,0,10988.4,4061.52,0,35,0.64
26.9,2,11,0,9200.32,3305.28,0,34,0.64
